patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Bảo Bùi,449258999417,25/06/1951,0963554495,maijane@example.org,"38 Trần Khu, JohnXã, 622162",Tim mạch,5.39,Nam Hữu Dương,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Bảo Tấn Lê,314792585108,20/10/1939,0301993325,vujohn@example.org,"4 Vũ Làng, Thành phố JohnPhường, 688826",Tim mạch,10.78,An Quang Bùi,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Anh Tấn Phạm,206921936053,24/02/1999,0760905790,janemai@example.org,"802 John Đường, JohnThị xã, 554356",Tiểu đường,4.53,Quý ông Vũ Trần,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Tùng Hữu Trần,505711508147,06/09/1994,0890965361,johnhoang@example.org,"94 Lê Số, Huyện JohnXã, 820517",Tiểu đường,4.59,Vân Mai,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Minh Đặng,001519043273,26/03/1998,0768449054,johnhoang@example.net,"49 Jane Ngõ, JohnThị xã, 813316",Tiểu đường,10.77,Bà Kim Nguyễn,16/02/2026
8d03c91e-4f8d-4238-a88b-78b5b5b453ca,Hà Xuân Hoàng,275260307117,17/01/1948,0767124320,ole@example.com,"3 Hoàng Hẻm, JanePhường, 216565",Tim mạch,9.64,Thành Phạm,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Chi Nguyễn,608990677000,13/08/1981,0509694929,vujohn@example.net,"6 Đặng Số, Quận JanePhường, 779209",Tim mạch,4.39,Thành Mai Bảo Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Bà Khoa Lê,428788892219,25/05/1940,0514396130,jane73@example.net,"97 Mai Tổ, Thành phố JohnThành phố, 200023",Huyết áp cao,6.28,Thảo Nguyễn,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Bà Phương Mai,261028468071,24/04/1967,0798104442,jane00@example.com,"1 John Ngõ, JaneHuyện, 693470",Khỏe mạnh,7.58,Quý ông Bảo Mai,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Vân Nguyễn,145931095030,19/02/1968,0918957646,phamjohn@example.net,"35 Lê Ngõ, Thị xã JaneHuyện, 802189",Huyết áp cao,6.12,Bác Nam Trần,28/02/2026
da743152-627b-41a1-bfd6-f23232ffe294,Quý cô Mai Dương,975864079655,18/03/1984,0963356180,johnvu@example.net,"91 John Dãy, JohnQuận, 828122",Khỏe mạnh,5.33,Bà Mai Phạm,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Quý cô Hạnh Vũ,208133158959,29/10/1979,0791544792,jane27@example.org,"761 Jane Ngõ, JohnXã, 442937",Khỏe mạnh,8.3,Quý ông Vũ Nguyễn,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Lâm Quang Bùi,340550676545,22/01/1989,0784107128,janetran@example.org,"1 Lê Tổ, Thị xã JohnThị xã, 437389",Huyết áp cao,4.34,Thành Phú Bùi,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Vi Đặng,920381431233,20/05/1954,0916405700,vujane@example.com,"Thị xã JaneXã, 92 Phạm Số, 998767",Khỏe mạnh,7.92,Khoa Vũ,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Bà Xuân Phạm,629623321907,30/06/1967,0945269877,lejane@example.net,"9 Jane Làng, Thị xã JaneThành phố, 296019",Tiểu đường,6.69,Quang Đức Dương,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Nhật Bùi,363887648541,29/09/1935,0779017981,janedang@example.org,"752 Mai Đường, Thị xã JohnXã, 359784",Tiểu đường,5.33,Lan Bùi,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Cô Mai Mai,867146494802,15/03/1950,0753679646,duongjane@example.net,"068 Bùi Tổ, JaneThành phố, 229243",Tiểu đường,8.36,Tùng Mai,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Quý ông Quang Trần,728093732504,01/03/2004,0980762126,tranjohn@example.net,"45 John Số, Huyện JohnHuyện, 380133",Tiểu đường,5.38,Nhật Thế Nguyễn,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Lan Nguyễn,398347900234,18/01/1948,0743335533,jane94@example.org,"55 Vũ Đường, Thành phố JohnThành phố, 939267",Huyết áp cao,8.52,Chị Hồng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Nhiên Bùi,400619351962,04/01/1983,0994036466,janemai@example.net,"0 Jane Khu, JaneQuận, 860753",Tim mạch,8.52,Thành Lê,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Lan Đặng,378855132169,21/08/1964,0536399502,janebui@example.net,"6 Jane Tổ, Thành phố JaneXã, 188887",Khỏe mạnh,9.06,Quý cô Thảo Dương,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Quý ông Anh Vũ,939288791269,03/08/2001,0700182453,johnduong@example.org,"668 Phạm Làng, JohnPhường, 535848",Tim mạch,3.66,Hương Trần,14/02/2026
ab05347f-d556-437d-8f08-81ee8011316b,Châu Bùi,535902368663,23/09/1994,0590619112,jane46@example.org,"99 John Khu, JaneThành phố, 515582",Tiểu đường,11.15,Thành Phạm,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Chị Linh Lê,821260441825,26/07/1981,0772795974,johnnguyen@example.net,"4 Lê Dãy, JohnPhường, 951086",Tiểu đường,9.43,Quý ông Phúc Vũ,08/05/2026
c5d95f51-f387-41bd-ad59-72c6134a5a2f,Nhật Mai Trần,922493018588,15/06/1996,0568300819,john30@example.net,"290 Jane Khu, Quận JaneQuận, 611408",Khỏe mạnh,10.58,Nhật Đặng,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Bảo Hữu Mai,602071062376,15/05/2004,0909707932,jane58@example.org,"221 Jane Ngõ, JanePhường, 250892",Khỏe mạnh,9.86,Phương Trần,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Dũng Mai,241285057947,01/02/1988,0931589659,jane52@example.com,"489 Đặng Làng, Quận JohnQuận, 988159",Khỏe mạnh,11.33,Quý ông Trọng Hoàng,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Hải Xuân Mai,080444536908,24/01/1980,0541897789,tranjohn@example.com,"581 Jane Ngõ, Thị xã JohnQuận, 627460",Khỏe mạnh,7.83,Ông Hưng Hoàng,13/04/2026
e05b46c5-5636-4094-a974-31db09a9d1c1,Chị Bảo Vũ,071897584426,21/12/1959,0728369203,lbui@example.org,"02 Dương Đường, Thị xã JaneHuyện, 899823",Khỏe mạnh,6.96,Quý ông Hoàng Phạm,08/04/2026
297ca4ff-f75d-499f-ab2d-5b0987079ad4,Cô Ngọc Trần,713062499979,17/06/1942,0507724470,janeduong@example.net,"8 Mai Khu, JaneXã, 127314",Huyết áp cao,8.31,Trung Hữu Đặng,11/01/2026
3c5bf3a7-5fbb-40b1-8083-89c8657e01c9,Tú Phạm,771942415406,13/03/1939,0568777275,jane20@example.com,"4 Jane Khu, JohnQuận, 980984",Khỏe mạnh,10.49,Anh Bảo Vũ,16/02/2026
3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Ngọc Hoàng,029363123975,12/06/1950,0787764970,john18@example.org,"6 Jane Hẻm, JohnQuận, 778219",Huyết áp cao,11.34,Anh Nhiên Trần,14/01/2026
81e03a5e-8b48-4496-86ab-d4e7f4124360,Lan Lê,993249102734,14/04/1941,0579871388,pbui@example.com,"33 Lê Tổ, JaneQuận, 786972",Khỏe mạnh,10.91,Lan Vũ,13/01/2026
752a7d25-f190-4b7e-86b4-69efb74eba93,Quý ông Nam Đặng,603751801840,27/04/1941,0990794058,nguyenjane@example.net,"1 John Ngõ, Thành phố JohnXã, 772882",Huyết áp cao,11.49,Lâm Hữu Vũ,17/03/2026
7f072cb9-2fd3-40c0-b945-f2fd56cb1ab0,Chị Bảo Lê,435838354012,08/08/1946,0790256781,unguyen@example.com,"Quận JohnThị xã, 43 Mai Số, 764293",Tiểu đường,6.21,Mai Bùi,10/03/2026
46494296-6f58-42c3-bf86-cc319d66e815,Anh Quang Vũ,214306053167,21/10/1984,0515922009,jane77@example.net,"JohnPhường, 89 Vũ Tổ, 178288",Khỏe mạnh,7.41,Anh Minh Nguyễn,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Bác Tú Dương,365569411846,20/11/1938,0503933737,jane34@example.com,"77 John Tổ, JaneHuyện, 322009",Khỏe mạnh,9.58,Anh Trung Đặng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Hồng Dương,427043532618,20/01/1959,0387580615,johnbui@example.com,"770 John Dãy, Thành phố JaneQuận, 985004",Huyết áp cao,6.25,Tú Mai,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Cô Hồng Dương,824676313135,09/10/2005,0883716354,ahoang@example.org,"5 Phạm Số, JohnThị xã, 151573",Khỏe mạnh,6.61,An Bảo Vũ,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Lan Vũ,420427551211,19/12/2007,0814289523,mle@example.org,"840 John Tổ, Thành phố JaneQuận, 103095",Tim mạch,10.43,Chị Hương Nguyễn,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Trọng Nguyễn,450578816157,16/04/1945,0376496615,john78@example.org,"8 Hoàng Số, JohnXã, 902029",Tiểu đường,7.75,Vi Mai,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Quang Phú Dương,571089828252,23/08/1987,0796547169,jane65@example.com,"90 John Khu, Thị xã JaneThành phố, 643037",Tim mạch,5.67,Bảo Phạm,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Cô Nhật Hoàng,768286825949,27/12/1949,0339932397,ble@example.net,"0 Đặng Hẻm, JaneHuyện, 849978",Huyết áp cao,6.84,Nam Đặng,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,An Văn Đặng,855905013081,14/06/1962,0577158338,john32@example.net,"9 Vũ Hẻm, JohnThành phố, 539023",Tiểu đường,9.35,Linh Hoàng,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Xuân Trần,490228314883,29/06/1985,0766479941,john41@example.com,"31 Jane Ngõ, Thị xã JaneThành phố, 849519",Tiểu đường,5.79,Ông Tú Phạm,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Dũng Trần,612405392459,09/05/1992,0780457160,janedang@example.com,"2 John Làng, JaneHuyện, 601000",Tiểu đường,6.25,Hà Trần,05/05/2026
9c2dfa97-43ad-4d62-b17c-fb21cdbc2c1c,Anh Quang Bùi,083253521932,26/12/1975,0865648085,johnpham@example.org,"302 Trần Dãy, JohnXã, 947862",Khỏe mạnh,10.61,Quý cô Chi Phạm,16/01/2026
a7edc8d8-713f-4f8c-ac8b-e53758ab4778,Khoa Nguyễn,683464848757,10/11/1962,0554774093,vujane@example.net,"3 Phạm Dãy, JohnThị xã, 723179",Tim mạch,10.72,Tùng Mai,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Bảo Dương,202105534979,04/05/2000,0372150969,jane61@example.org,"380 John Dãy, JaneHuyện, 533251",Tiểu đường,9.37,Cô Vân Bùi,08/01/2026
9a4ffc0c-9165-42ed-8c63-6e95025f5543,Minh Đức Mai,114515671512,12/03/1997,0965441476,vujohn@example.net,"507 Trần Khu, JaneQuận, 179113",Tiểu đường,11.96,An Hữu Mai,25/03/2026
669d01ff-1634-425b-93f3-007383e96ef4,Quý cô Ánh Dương,944951177505,04/05/2000,0567833721,nguyenjohn@example.org,"3 Mai Hẻm, JaneQuận, 754803",Huyết áp cao,9.62,Bác Trung Mai,02/03/2026
ea87855e-a382-45d3-9e0e-f546b0b6dedf,Vũ Văn Đặng,477830856373,01/06/1965,0768119956,john55@example.net,"41 Nguyễn Số, JohnPhường, 692040",Khỏe mạnh,11.36,Nhật Đức Bùi,09/04/2026
265cb9d9-8962-4f6e-929c-93b333c08bf1,Thảo Hoàng,996590490074,07/03/1951,0947465371,janepham@example.net,"86 Jane Ngõ, Huyện JohnXã, 136765",Huyết áp cao,11.47,Quý ông Tú Bùi,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Kim Nguyễn,618037697515,01/10/1944,0569427949,jpham@example.com,"86 Nguyễn Ngõ, Thị xã JaneThị xã, 409637",Tiểu đường,6.29,Anh Anh Vũ,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Bác Nam Phạm,515276034103,19/12/1975,0537913044,buijohn@example.org,"6 Bùi Số, JohnPhường, 459990",Tiểu đường,6.32,Quý ông Trọng Bùi,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Bác Tú Dương,615486157444,08/02/1990,0961304663,jane30@example.org,"301 Phạm Đường, JaneQuận, 306499",Huyết áp cao,11.2,Minh Đức Hoàng,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Quý cô Yến Lê,068150374203,27/09/1941,0839878969,jane97@example.com,"787 Trần Tổ, JohnThành phố, 937570",Tim mạch,6.85,Dũng Tấn Nguyễn,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Bà Hà Đặng,783833621658,11/12/1947,0916986181,janebui@example.net,"846 Nguyễn Tổ, JohnHuyện, 659497",Tiểu đường,10.09,Cô An Nguyễn,17/02/2026
345af934-b42a-4d93-9aba-0f15b2149062,Dũng Mai Bảo Đặng,946357402590,02/03/1987,0843557758,phamjane@example.com,"6 John Dãy, Huyện JohnHuyện, 711624",Tim mạch,11.44,Trung Mai Bảo Trần,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Yến Phạm,829500527352,02/04/1980,0755457926,phamjane@example.net,"4 Jane Hẻm, Thành phố JaneThành phố, 133937",Khỏe mạnh,5.87,Hạnh Phạm,15/01/2026
0c6b7074-ab10-4c9b-9168-2e09f1f7d904,Cô Hạnh Mai,751498218852,09/11/1966,0385361775,jtran@example.net,"27 Jane Dãy, Huyện JohnThành phố, 474631",Huyết áp cao,7.7,Anh Vũ,04/01/2026
ac8d6c7d-b2a6-4468-902b-124380913ac1,Quý cô Mai Phạm,800313190141,23/09/2006,0949770888,janehoang@example.com,"101 Lê Số, JohnThị xã, 829307",Huyết áp cao,10.01,Thành Mai,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Hoàng Dương,553592495607,12/08/1946,0962004001,ovu@example.com,"40 John Làng, Huyện JaneThành phố, 734005",Tiểu đường,7.81,An Hải Lê,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Cô Hà Bùi,769512693695,25/12/1954,0931352480,johnvu@example.com,"4 John Hẻm, JohnPhường, 775120",Huyết áp cao,8.88,Cô Dương Dương,30/04/2026
f80b2cea-658e-44a2-9879-cf35f4719986,Bà Nhật Dương,621546398103,17/02/2002,0905707168,btran@example.com,"9 Jane Khu, Thành phố JohnPhường, 864027",Huyết áp cao,5.03,Thành Hải Trần,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,An Dương,391657812579,29/03/1947,0906104809,gnguyen@example.com,"355 Jane Làng, Huyện JaneThành phố, 788482",Tim mạch,6.32,Phương Lê,17/02/2026
af70de70-2b69-495e-8567-1b58926bffa5,Hưng Đặng,809398371471,05/05/1976,0947431528,janebui@example.org,"089 Dương Làng, Quận JaneThị xã, 155663",Khỏe mạnh,4.1,Quý cô Bảo Bùi,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Thảo Đặng,983479210500,19/11/1953,0965077673,duongjohn@example.com,"902 Mai Tổ, Huyện JaneXã, 421111",Khỏe mạnh,5.86,Bác Tùng Bùi,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Hà Mai Bảo Lê,461698841016,08/10/1944,0769250948,johnbui@example.org,"26 Nguyễn Khu, Thành phố JanePhường, 288158",Tiểu đường,9.23,Chị Nhật Lê,15/04/2026
15c1604f-ea16-4354-a35f-c9c198049562,Nhiên Đặng,093929484481,30/12/1957,0871792892,johnle@example.net,"9 John Ngõ, Thị xã JohnQuận, 866620",Huyết áp cao,9.76,Vi Vũ,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Quang Phú Trần,261002569016,07/10/1982,0721335506,johndang@example.net,"39 Phạm Dãy, Thị xã JaneXã, 594909",Tim mạch,7.61,Bà Khoa Hoàng,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Kim Mai Bảo Đặng,755056863794,22/09/1960,0716315724,janehoang@example.com,"5 John Hẻm, Thành phố JaneHuyện, 778115",Tim mạch,9.92,Quang Vũ,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Bác Huy Vũ,963969754943,13/10/1988,0369541546,ymai@example.org,"721 Mai Dãy, JaneQuận, 565878",Huyết áp cao,11.89,Khoa Mai,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Khoa Mai Hoàng,959267593955,08/12/1958,0335295797,john94@example.net,"Huyện JohnPhường, 54 Jane Hẻm, 448521",Tiểu đường,5.28,Chị Chi Vũ,28/03/2026
90bde900-1529-46f5-aad1-1fe87d1b695e,Quý ông Minh Lê,167557467800,10/02/1975,0570195849,jane55@example.net,"2 John Hẻm, JohnXã, 606595",Tim mạch,10.97,Bác Quang Bùi,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Hạnh Trần,866115573222,12/02/1995,0597803474,janedang@example.com,"JohnThị xã, 50 Trần Dãy, 696436",Tim mạch,7.79,Hạnh Bùi,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Quý cô Chi Nguyễn,773478584335,15/05/2005,0821589045,wnguyen@example.com,"69 Vũ Ngõ, Huyện JaneXã, 675784",Huyết áp cao,8.65,Ông Vũ Phạm,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Khoa Dương,500239897523,11/09/1935,0934059571,john20@example.org,"715 Jane Làng, Quận JohnThành phố, 428210",Tiểu đường,6.93,Quang Mai,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Bà Hồng Trần,246944134122,02/06/1995,0325952818,janetran@example.com,"6 John Ngõ, JaneXã, 609926",Tiểu đường,9.69,Quý cô Ánh Bùi,15/02/2026
b4258e19-1758-447e-a7cd-e1436de21429,Bảo Mai Bùi,666129655147,02/04/2000,0973672786,johntran@example.net,"9 Jane Làng, JaneQuận, 157870",Tiểu đường,9.11,Hà Xuân Mai,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Phương Mai,758984670011,06/07/1936,0507266560,john10@example.com,"0 Phạm Tổ, Quận JaneQuận, 628539",Tim mạch,3.84,Cô Mai Vũ,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Thành Lê,332905048086,27/04/1963,0820023714,dbui@example.com,"214 Jane Hẻm, Quận JohnQuận, 746229",Tiểu đường,9.7,Ông Quang Trần,15/01/2026
0387f74d-1149-4096-965d-744f0445c1a8,Cô Vân Đặng,193784176686,03/08/1943,0581883862,johnbui@example.net,"Huyện JaneThị xã, 281 Jane Ngõ, 245832",Huyết áp cao,7.77,Khoa Hoàng,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Yến Bùi,635364268528,02/11/1967,0816511280,pmai@example.org,"52 John Dãy, Huyện JaneXã, 830212",Tim mạch,11.55,Nhật Văn Vũ,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,Quý cô Hồng Nguyễn,840091941946,15/10/1993,0823547541,bbui@example.com,"64 Jane Tổ, JaneThị xã, 419502",Tim mạch,11.24,Bà Thành Phạm,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Ông Trung Mai,945085345472,26/07/1999,0870256603,johndang@example.org,"JohnXã, 8 Lê Số, 657248",Tiểu đường,8.39,Khoa Mai Bảo Dương,11/04/2026
66a302d6-f43e-4c48-8bc1-f9e5fb3df063,Chị Bảo Trần,063881522285,23/08/1977,0820175344,janeduong@example.net,"49 Dương Đường, JaneThành phố, 394764",Huyết áp cao,8.64,Bà Thành Phạm,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Thành Hoàng,844765252503,27/07/1986,0503019824,janepham@example.org,"JohnXã, 35 Lê Dãy, 997090",Huyết áp cao,7.62,Vũ Phú Lê,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Quang Thị Mai,546018049844,26/03/1978,0548095634,jduong@example.org,"93 Vũ Đường, JohnXã, 755838",Tim mạch,8.36,Quý ông Quang Mai,10/02/2026
43d78f2b-769d-41e3-8eed-412473b0d676,Trung Mai,602431962893,05/10/1976,0521636791,johnhoang@example.com,"65 John Tổ, Thị xã JaneQuận, 260517",Khỏe mạnh,5.39,Quý cô Hạnh Bùi,28/01/2026
d49347fc-0fc9-4d2e-830f-9be91f178f93,Hạnh Tấn Đặng,540074907600,08/01/1986,0946767913,janetran@example.com,"883 John Hẻm, JohnXã, 592112",Huyết áp cao,6.02,Linh Nguyễn,06/01/2026
